index,Port,IATA,ICAO,Latitude,Longitude,Name,Country
234,BEJ,BEJ,WALK,2.15549993515,117.431999207,Barau(Kalimaru) Airport,Indonesia
235,BEL,BEL,SBBE,-1.3792500495900002,-48.476299285900005,Val de Cans/Júlio Cezar Ribeiro International Airport,Brazil
236,BEN,BEN,HLLB,32.096801757799994,20.2695007324,Benina International Airport,Libya
237,BES,BES,LFRB,48.4478988647461,-4.418540000915527,Brest Bretagne Airport,France
238,BET,BET,PABE,60.77980042,-161.8379974,Bethel Airport,United States
239,BEU,BEU,YBIE,-24.346099853515625,139.46000671386722,Bedourie Airport,Australia
240,BEW,BEW,FQBR,-19.79640007019043,34.90760040283203,Beira Airport,Mozambique
241,BEY,BEY,OLBA,33.820899963378906,35.488399505615234,Beirut Rafic Hariri International Airport,Lebanon
242,BFD,BFD,KBFD,41.8031005859375,-78.64009857177734,Bradford Regional Airport,United States
243,BFF,BFF,KBFF,41.87400055,-103.5960007,Western Neb. Rgnl/William B. Heilig Airport,United States
244,BFI,BFI,KBFI,47.52999877929688,-122.302001953125,Boeing Field King County International Airport,United States
245,BFJ,BFJ,ZUBJ,27.267065999999996,105.47209699999999,Bijie Feixiong Airport,China
246,BFL,BFL,KBFL,35.43360138,-119.0569992,Meadows Field,United States
247,BFN,BFN,FABL,-29.092699050900002,26.302400589,Bram Fischer International Airport,South Africa
249,BFS,BFS,EGAA,54.6575012207,-6.21582984924,Belfast International Airport,United Kingdom
250,BFV,BFV,VTUO,15.229499816894533,103.25299835205078,Buri Ram Airport,Thailand
251,BGA,BGA,SKBG,7.1265,-73.1848,Palonegro Airport,Colombia
252,BGF,BGF,FEFF,4.39847993850708,18.518800735473636,Bangui M'Poko International Airport,Central African Republic
254,BGI,BGI,TBPB,13.0746002197,-59.492500305200004,Sir Grantley Adams International Airport,Barbados
255,BGM,BGM,KBGM,42.20869827,-75.97979736,Greater Binghamton/Edwin A Link field,United States
256,BGO,BGO,ENBR,60.29339981,5.218140125,Bergen Airport Flesland,Norway
257,BGR,BGR,KBGR,44.80739974975586,-68.82810211181639,Bangor International Airport,United States
258,BGW,BGW,ORBI,33.262500762900004,44.2346000671,Baghdad International Airport,Iraq
259,BGY,BGY,LIME,45.673901,9.70417,Il Caravaggio International Airport,Italy
260,BHB,BHB,KBHB,44.45000076,-68.36150359999999,Hancock County-Bar Harbor Airport,United States
261,BHD,BHD,EGAC,54.61809921264648,-5.872499942779541,George Best Belfast City Airport,United Kingdom
262,BHE,BHE,NZWB,-41.5182991027832,173.8699951171875,Woodbourne Airport,New Zealand
263,BHH,BHH,OEBH,19.984399795532227,42.62089920043945,Bisha Airport,Saudi Arabia
264,BHI,BHI,SAZB,-38.725,-62.1693,Comandante Espora Airport,Argentina
265,BHJ,BHJ,VABJ,23.2877998352,69.6701965332,Bhuj Airport,India
266,BHK,BHK,UTSB,39.775001525878906,64.48329925537111,Bukhara Airport,Uzbekistan
267,BHM,BHM,KBHM,33.56290054,-86.75350189,Birmingham-Shuttlesworth International Airport,United States
268,BHO,BHO,VABP,23.2875003815,77.33740234380001,Raja Bhoj International Airport,India
269,BHQ,BHQ,YBHI,-32.0013999939,141.472000122,Broken Hill Airport,Australia
270,BHR,BHR,VNBP,27.6781005859375,84.42939758300781,Bharatpur Airport,Nepal
271,BHS,BHS,YBTH,-33.409400939899996,149.65199279799998,Bathurst Airport,Australia
272,BHU,BHU,VABV,21.752199173,72.18520355220001,Bhavnagar Airport,India
273,BHV,BHV,OPBW,29.348100662231445,71.71800231933594,Bahawalpur Airport,Pakistan
274,BHX,BHX,EGBB,52.4538993835,-1.7480299472799998,Birmingham International Airport,United Kingdom
275,BHY,BHY,ZGBH,21.5394,109.293999,Beihai Airport,China
276,BIA,BIA,LFKB,42.55270004272461,9.48373031616211,Bastia-Poretta Airport,France
277,BIK,BIK,WABB,-1.190019965171814,136.10800170898438,Frans Kaisiepo Airport,Indonesia
278,BIL,BIL,KBIL,45.807701110839844,-108.54299926757812,Billings Logan International Airport,United States
279,BIM,BIM,MYBS,25.6998996735,-79.2647018433,South Bimini Airport,Bahamas
280,BIO,BIO,LEBB,43.30110168457031,-2.9106099605560303,Bilbao Airport,Spain
281,BIQ,BIQ,LFBZ,43.4683333,-1.5311111000000002,Biarritz-Anglet-Bayonne Airport,France
282,BIR,BIR,VNVT,26.48150062561035,87.26399993896484,Biratnagar Airport,Nepal
283,BIS,BIS,KBIS,46.77270126342773,-100.74600219726562,Bismarck Municipal Airport,United States
284,BJA,BJA,DAAE,36.712001800500005,5.0699200630200005,Soummam Airport,Algeria
285,BJB,BJB,OIMN,37.49300003051758,57.30820083618164,Bojnord Airport,Iran
286,BJF,BJF,ENBS,70.60050201416,29.691400527954002,Båtsfjord Airport,Norway
287,BJI,BJI,KBJI,47.50939941,-94.93370056,Bemidji Regional Airport,United States
288,BJL,BJL,GBYD,13.338000297546387,-16.65220069885254,Banjul International Airport,Gambia
289,BJM,BJM,HBBA,-3.3240199089050293,29.318500518798828,Bujumbura International Airport,Burundi
290,BJR,BJR,HABD,11.608099937438965,37.32160186767578,Bahir Dar Airport,Ethiopia
291,BJV,BJV,LTFE,37.25059890749999,27.664300918600002,Milas Bodrum International Airport,Turkey
292,BJX,BJX,MMLO,20.993499755900004,-101.48100280799999,Del Bajío International Airport,Mexico
293,BJZ,BJZ,LEBZ,38.891300201416016,-6.8213300704956055,Badajoz Airport,Spain
294,BKC,BKC,PABL,65.9815979004,-161.149002075,Buckland Airport,United States
296,BKI,BKI,WBKK,5.9372100830078125,116.0510025024414,Kota Kinabalu International Airport,Malaysia
297,BKK,BKK,VTBS,13.681099891662598,100.74700164794922,Suvarnabhumi Airport,Thailand
298,BKM,BKM,WBGQ,3.973999977111816,115.61799621582031,Bakalalan Airport,Malaysia
299,BKO,BKO,GABS,12.533499717712402,-7.949940204620361,Senou Airport,Mali
300,BKQ,BKQ,YBCK,-24.427799224900003,145.429000854,Blackall Airport,Australia
301,BKS,BKS,WIPL,-3.8637,102.33899699999999,Fatmawati Soekarno Airport,Indonesia
302,BKW,BKW,KBKW,37.787300109899995,-81.1241989136,Raleigh County Memorial Airport,United States
303,BKY,BKY,FZMA,-2.3089799880981445,28.808799743652344,Bukavu Kavumu Airport,Congo (Kinshasa)
304,BKZ,BKZ,HTBU,-1.3319999999999999,31.8212,Bukoba Airport,Tanzania
305,BLA,BLA,SVBC,10.107099533081056,-64.68920135498047,General Jose Antonio Anzoategui International Airport,Venezuela
307,BLI,BLI,KBLI,48.79280090332031,-122.53800201416016,Bellingham International Airport,United States
308,BLJ,BLJ,DABT,35.7521018982,6.308589935300001,Batna Airport,Algeria
309,BLK,BLK,EGNH,53.77170181274414,-3.0286099910736084,Blackpool International Airport,United Kingdom
310,BLL,BLL,EKBI,55.7402992249,9.15178012848,Billund Airport,Denmark
