node_idx,Airport_ID,Src_cap,Des_cap,Name,City,Country,IATA,Latitude,Longitude
842,5749.0,0.0,0.0,Lebanon Municipal Airport,Lebanon,United States,LEB,43.626098632799994,-72.30419921880002
843,2888.0,0.0,0.0,Eugenio Maria De Hostos Airport,Mayaguez,Puerto Rico,MAZ,18.255699157714844,-67.14849853515625
844,3546.0,0.0,0.0,Massena International Richards Field,Massena,United States,MSS,44.93579864501953,-74.84559631347656
845,4265.0,0.0,0.0,Martha's Vineyard Airport,Vineyard Haven MA,United States,MVY,41.393100738499996,-70.6143035889
846,6825.0,0.0,0.0,Williamson County Regional Airport,Marion,United States,MWA,37.75500107,-89.01110077
847,3724.0,0.0,0.0,Ogdensburg International Airport,Ogdensburg,United States,OGS,44.681900024399994,-75.46549987790002
848,7071.0,0.0,0.0,L M Clayton Airport,Wolf Point,United States,OLF,48.0945014954,-105.57499694799999
849,5758.0,172.0,172.0,Owensboro Daviess County Airport,Owensboro,United States,OWB,37.74010086,-87.16680145
850,6456.0,0.0,0.0,Provincetown Municipal Airport,Provincetown,United States,PVC,42.071899414099995,-70.2213973999
851,4026.0,0.0,0.0,Knox County Regional Airport,Rockland,United States,RKD,44.06010056,-69.09919739
852,5767.0,0.0,0.0,Rutland - Southern Vermont Regional Airport,Rutland,United States,RUT,43.52939987,-72.94960022
853,7065.0,0.0,0.0,Sidney - Richland Regional Airport,Sidney,United States,SDY,47.706902,-104.193001
854,2890.0,11083.166666666666,10876.0,Luis Munoz Marin International Airport,San Juan,Puerto Rico,SJU,18.4393997192,-66.0018005371
855,5770.0,0.0,0.0,Adirondack Regional Airport,Saranac Lake,United States,SLK,44.38529968261719,-74.2061996459961
856,2883.0,4166.5,3838.5,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,18.337299346923828,-64.97339630126953
857,2884.0,574.5,574.5,Henry E Rohlsen Airport,St. Croix Island,Virgin Islands,STX,17.701900482177734,-64.79859924316406
858,3665.0,0.0,0.0,Waynesville-St. Robert Regional Forney field,Fort Leonardwood,United States,TBN,37.74160004,-92.14070129
859,5774.0,0.0,0.0,Quincy Regional Baldwin Field,Quincy,United States,UIN,39.94269943,-91.19460297
